id,custom_label_0,custom_label_1,excluded_destination
28720,до-20,online_only,"Free_local_listings,Local_inventory_ads"
В 3,100-200,online_only,"Free_local_listings,Local_inventory_ads"
Шпилька 7см.,до-20,online_only,"Free_local_listings,Local_inventory_ads"
40-53,до-20,online_only,"Free_local_listings,Local_inventory_ads"
204971,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Синій бантик,до-20,online_only,"Free_local_listings,Local_inventory_ads"
50-3,до-20,online_only,"Free_local_listings,Local_inventory_ads"
027,100-200,online_only,"Free_local_listings,Local_inventory_ads"
20278,50-100,online_only,"Free_local_listings,Local_inventory_ads"
27628,до-20,online_only,"Free_local_listings,Local_inventory_ads"
24223,до-20,online_only,"Free_local_listings,Local_inventory_ads"
8598,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Шпилька 6см.,до-20,online_only,"Free_local_listings,Local_inventory_ads"
SOIinQen Філірувальні.,100-200,online_only,"Free_local_listings,Local_inventory_ads"
№12/25,100-200,online_only,"Free_local_listings,Local_inventory_ads"
207286,до-20,online_only,"Free_local_listings,Local_inventory_ads"
25470,до-20,online_only,"Free_local_listings,Local_inventory_ads"
ВВ-3755,до-20,online_only,"Free_local_listings,Local_inventory_ads"
"А 1. Малютка, смужка яскрава.",до-20,online_only,"Free_local_listings,Local_inventory_ads"
Гудзик 100шт. Кольорова,до-20,online_only,"Free_local_listings,Local_inventory_ads"
№ 12 Кольорова велика,до-20,online_only,"Free_local_listings,Local_inventory_ads"
204834,100-200,online_only,"Free_local_listings,Local_inventory_ads"
Срібна 6 см.,до-20,online_only,"Free_local_listings,Local_inventory_ads"
6/0 49,100-200,online_only,"Free_local_listings,Local_inventory_ads"
Профі довга,до-20,online_only,"Free_local_listings,Local_inventory_ads"
№12/126,100-200,online_only,"Free_local_listings,Local_inventory_ads"
ВВ-8593,до-20,online_only,"Free_local_listings,Local_inventory_ads"
GB1129-15-3B,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Коло,20-50,online_only,"Free_local_listings,Local_inventory_ads"
202434,до-20,online_only,"Free_local_listings,Local_inventory_ads"
ВВ-8330,20-50,online_only,"Free_local_listings,Local_inventory_ads"
Темний золотарник.,100-200,online_only,"Free_local_listings,Local_inventory_ads"
BR-9,20-50,online_only,"Free_local_listings,Local_inventory_ads"
217346,20-50,online_only,"Free_local_listings,Local_inventory_ads"
№12,до-20,online_only,"Free_local_listings,Local_inventory_ads"
перлинка 7 см.,до-20,online_only,"Free_local_listings,Local_inventory_ads"
"Плюш широка, пастель.",20-50,online_only,"Free_local_listings,Local_inventory_ads"
205015,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Бантик Білий.,до-20,online_only,"Free_local_listings,Local_inventory_ads"
216769,20-50,online_only,"Free_local_listings,Local_inventory_ads"
D4/80,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Кориця,50-100,online_only,"Free_local_listings,Local_inventory_ads"
BROSH50-37,50-100,online_only,"Free_local_listings,Local_inventory_ads"
Ободок сталевий 0.5см.,до-20,online_only,"Free_local_listings,Local_inventory_ads"
194173 зол,50-100,online_only,"Free_local_listings,Local_inventory_ads"
207569,100-200,online_only,"Free_local_listings,Local_inventory_ads"
Малютка пастель 2 см.,до-20,online_only,"Free_local_listings,Local_inventory_ads"
ND-6,50-100,online_only,"Free_local_listings,Local_inventory_ads"
199901,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Жовто-блакитні. Репс.,до-20,online_only,"Free_local_listings,Local_inventory_ads"
