order_id,product_id,name,sku,qty,price,total,image,partial
31957,1165,"Затискач металевий 4,5 см.",,1,"53,00",53.00,https://cdn.gomw.co/b/product/8554/37lk/24zq/dsc00609.JPG,0
31957,25155,Силіконові резинки для волосся.,,2,"80,56",161.12,https://cdn.gomw.co/d/product/85ls/8521/54uh/dsc09913.JPG,0
31957,20498,Канекалон. 1/12,,3,"74,20",222.60,https://cdn.gomw.co/b/product/9421/az37/1421/dsc05834.JPG,0
31957,28266,"Краби для волосся металеві. 1,5 см",,3,"144,69",434.07,https://cdn.gomw.co/d/product/lkdc/21uh/sd94/dsc07727.JPG,0
31957,28267,"Краби для волосся металеві. 1,5 см.",,2,"144,69",289.38,https://cdn.gomw.co/d/product/sdgf/2121/9421/dsc07729.JPG,0
31956,28251,Невидимки для волосся. 5 см чорні,,1,"15,90",15.90,https://cdn.gomw.co/d/product/24az/gfdc/sese/dsc07676.JPG,0
31956,28252,Невидимки для волосся матові. 6 см,,1,"75,26",75.26,https://cdn.gomw.co/d/product/2421/8554/14kd/dsc07671.JPG,0
31956,28245,Гребінець для зачіски.,,1,"90,10",90.10,https://cdn.gomw.co/d/product/sd37/se94/sesd/dsc07650.JPG,0
31956,27817,Гребінець для зачіски.,,1,"90,10",90.10,https://cdn.gomw.co/d/product/2114/se54/9424/dsc07194.JPG,0
31956,28260,Заколка Тік-так. 5.5 см. фосфорні,,1,"75,26",75.26,https://cdn.gomw.co/d/product/sduh/85dc/dc85/dsc07673.JPG,0
31955,28226,Кулон-чокер.,,1,"292,03",292.03,https://cdn.gomw.co/d/product/ls24/gfls/85zq/dsc07602.JPG,0
31955,27655,Віяла,,1,"280,90",280.90,https://cdn.gomw.co/d/product/lsdc/9421/lsaz/dsc06828.JPG,0
31955,27656,Віяла,,1,"280,90",280.90,https://cdn.gomw.co/d/product/zqkd/se24/zqlk/dsc06825.JPG,0
31955,28215,Віяла,,1,"280,90",280.90,https://cdn.gomw.co/d/product/14uh/lkuh/az21/zobrazhennya_viber_2026-04-25_08-08-45-778.jpg,0
31955,28216,Віяла,,1,"280,90",280.90,https://cdn.gomw.co/d/product/2437/kdkd/uhlk/zobrazhennya_viber_2026-04-25_08-08-48-063.jpg,0
31954,25707,Краби для волосся. 4.5 см.,,3,"65,19",195.57,https://cdn.gomw.co/d/product/37lk/azsd/gfdc/dsc01679.JPG,0
31954,25708,Краби для волосся металеві. 4.5 см.,,4,"65,19",260.76,https://cdn.gomw.co/d/product/54se/zqaz/uh94/dsc01681.JPG,0
31954,25706,Краби для волосся. 4.5 см.,,3,"65,19",195.57,https://cdn.gomw.co/d/product/54zq/sd37/1421/dsc01677.JPG,0
31953,27448,Краби для волосся 7.5 см.,,1,"438,31",438.31,https://cdn.gomw.co/d/product/uh21/ls54/5454/dsc06377.JPG,0
31953,27091,Гілочка весільна. 26 см.,,1,"166,95",166.95,https://cdn.gomw.co/d/product/37gf/lkaz/gf37/dsc05479.JPG,0
31952,27656,Віяла,,2,"280,90",561.80,https://cdn.gomw.co/d/product/zqkd/se24/zqlk/dsc06825.JPG,0
31950,28179,Дитячий набір заколок та резинок у коробочці. Метелик,,1,"63,07",63.07,https://cdn.gomw.co/d/product/94gf/dcse/94gf/2026_03_16_12_06_img_5518.JPG,0
31950,27948,Гребінець для волосся в коробочці. 18см,,1,"72,08",72.08,https://cdn.gomw.co/d/product/2437/9414/2494/img_3434.JPG,0
31950,27786,Металеві краби для волосся. 6 см.,,1,"92,75",92.75,https://cdn.gomw.co/d/product/sd37/dc94/9494/dsc07135.JPG,0
31950,28072,Гребінець для волосся в коробочці. Глянець рожева,,1,"74,20",74.20,https://cdn.gomw.co/d/product/dc14/85se/kduh/2025_12_11_13_32_img_4278.JPG,0
31950,28202,Краби для волосся 7.5 см.,,1,"323,83",323.83,https://cdn.gomw.co/d/product/kd94/lsaz/uh94/dsc07533.JPG,0
31949,28095,"Дитяча заколка Тік-так. 2,5 см",,4,"29,15",116.60,https://cdn.gomw.co/d/product/kd14/9494/kd85/img_4675.jpg,0
31949,28146,Краби для волосся метелик матовий 3.5 см,,4,"106,53",426.12,https://cdn.gomw.co/d/product/85gf/21zq/54gf/2026_02_28_11_28_img_5363.JPG,0
31949,28143,Краби для волосся метелик. Французький пластик. 4.5см.,,4,"303,69",1214.76,https://cdn.gomw.co/d/product/54dc/14gf/lk24/2026_02_28_11_26_img_5359.JPG,0
31949,27825,Краби для волосся 3.5 см.,,5,"84,27",421.35,https://cdn.gomw.co/d/product/37sd/zqkd/segf/dsc07208.JPG,0
31949,28198,Краби для волосся. Французький пластик. 6 см.,,4,"528,94",2115.76,https://cdn.gomw.co/d/product/3737/kd54/se14/dsc07524.JPG,0
31948,26761,Резинки для волосся. Об'ємні.,,1,"282,49",282.49,https://cdn.gomw.co/d/product/21dc/sduh/14ls/dsc04666.JPG,0
31948,25320,Резинки для волос объёмные,,1,"267,65",267.65,https://cdn.gomw.co/d/product/azaz/azzq/54uh/dsc00498.JPG,0
31948,28098,Резинки для волосся. Об'ємні. 10 см,,1,"207,76",207.76,https://cdn.gomw.co/d/product/1454/2421/94kd/2026_02_12_15_13_img_5190.JPG,0
31948,28122,Резинки для волосся атласні. Тонкі 7см,,1,"207,76",207.76,https://cdn.gomw.co/d/product/21zq/14se/zqkd/img_5288.JPG,0
31948,26760,Резинки для волосся.,,1,"207,76",207.76,https://cdn.gomw.co/d/product/lskd/sd94/1424/dsc04663.JPG,0
31947,27926,"Металеві краби для волосся. ""ZAYA"" 2.5 см.",,1,"79,50",79.50,https://cdn.gomw.co/d/product/lkls/24gf/uhzq/dsc07416.JPG,0
31947,27829,Металеві краби для волосся. 7.5 см.,,1,"62,54",62.54,https://cdn.gomw.co/d/product/54gf/az85/gfse/dsc07216.JPG,0
31947,28026,"Металеві краби для волосся. ""ZAYA"" 4.5 см. золото",,1,"121,90",121.90,https://cdn.gomw.co/d/product/seuh/dc37/uh21/2025_11_27_11_33_img_4136.JPG,0
31947,28042,"Металеві краби для волосся. ""ZAYA"" 6 см",,1,"143,10",143.10,https://cdn.gomw.co/d/product/dc21/se14/14lk/2025_12_11_13_36_img_4282.JPG,0
