# ----------------------------------------
# Reports snapshot
# Account: kristallikcomua
# Property: kristallik.com.ua - GA4
# ----------------------------------------
#  
# Start date: 20251101
# End date: 20260309
Nth day,Active users
Помилка 404,166
Бісер оптом.,162
Аксесуари для волосся оптом. - сторінка 15,158
Новинки - сторінка 5,154
Аксесуари для волосся оптом. - сторінка 16,153
Невидимки,153
Аксесуари для волосся оптом. - сторінка 17,149
Аксесуари для волосся оптом. - сторінка 18,149
Новинки - сторінка 6,145
Новинки - сторінка 7,143
Аксесуари для волосся оптом. - сторінка 20,140
Сіточки для волосся оптом.,139
Галантерея,138
Усі товари - сторінка 2,137
Аксесуари для волосся оптом. - сторінка 19,136
"Резинки для волосся, Безшовні оптом. - сторінка 2",131
Шпильки для волосся оптом.,129
Бігуді для волосся оптом.,123
Аксесуари для волосся оптом. - сторінка 21,120
Новинки - сторінка 8,120
Аксесуари для волосся оптом. - сторінка 22,117
Біжутерія и аксесуари оптом.,116
Гребінці для волосся оптом,116
Хутряні навушники оптом.,116
Брелоки оптом.,115
Усі товари - сторінка 3,112
Аксесуари для волосся оптом. - сторінка 23,111
Аксесуари для волосся оптом. - сторінка 27,110
Аксесуари для волосся оптом. - сторінка 26,109
Заколка для волос Тік-так оптом,109
Аксесуари для волосся оптом. - сторінка 24,108
Пакети подарункові.,108
Аксесуари для волосся оптом. - сторінка 25,106
Діадеми оптом,106
Новинки - сторінка 9,106
Дзеркала оптом.,103
"Резинки для волосся, тонкі оптом.",99
Усі товари - сторінка 4,97
"Бісер великий, №6 по 450г.Китайський оптом.",96
Новинки - сторінка 10,96
Новинки - сторінка 11,94
Твистер для волосся оптом.,93
"Резинки для волосся"" Barbi"" оптом",89
Повітряні кульки оптом.,88
Прекраса для волосся.,85
Заготівлі оптом,84
Новинки - сторінка 12,83
Дитяча біжутерія оптом. - сторінка 2,82
Резинки для волосся оптом.,81
Дитячі набори оптом.,80
Канекалон-пасма штучного волосся оптом,80
Усі товари - сторінка 5,80
Дитячі заколки Тик-Так оптом.,78
Новинки - сторінка 13,77
Доставка й оплата - Кристалік,76
Все для виробів з Бісеру оптом.,75
Дитячі резинки для волосся оптом. - сторінка 2,74
Усі товари - сторінка 6,73
Новинки - сторінка 14,72
Резинки пружинки для волосся оптом.,71
Новинки - сторінка 16,70
Новинки - сторінка 15,66
Новинки - сторінка 18,66
Заколка для волосся Банан оптом,65
Затискач для волосся оптом,65
Усі товари - сторінка 7,65
Игрушки,64
Новорічний товар оптом. - сторінка 2,64
Новинки - сторінка 17,63
Резинки Силіконові.,63
Усі товари - сторінка 8,63
Усі товари - сторінка 9,61
Краби для волосся. Метал-пластик-стрази оптом. - сторінка 2,58
"Обручі для волосся, пластикові оптом",58
Заколка для волосся. Автоматична оптом,56
Сережки Stainless Steel.,56
Аксесуари для волосся оптом. - сторінка 28,55
Дитяча біжутерія оптом. - сторінка 3,54
Маски для вечірок оптом.,54
Новинки - сторінка 20,54
Новинки - сторінка 19,53
Усі товари - сторінка 10,50
Вкрутки для волосся оптом,48
Кільця оптом.,47
Резинки для волосся оптом. - сторінка 2,47
